"Informations.locales"	"Informations.politiques"	"Sports"	"Lariflette"	"Télévision"	"Cérémonies.officielles"	"Informations.sociales"	"Décès"	"Accidents"	"Petites.annonces"	"Première.page"	"Feuilleton"	"Informations.économiques"	"Courrier.des.lecteurs"	"Pour.vous.madame"	"Informations.agricoles"	"Au.jour.le.jour"	"Spectacles"	"Informations.maritimes"	"Informations.départementales"	"Informations.étrangères"	"Jeunesse.et.éducation"	"Annonces.pour.l.emploi"	"Faits.divers"	"Reportage.page.2"	"Courrier.des.consommateurs"	"Habitat"	"Sexe"	"Situation.de.famille"	"Age"	"Catégorie.socio.professionnelle"	"Nombre.d.enfants"	"Niveau.d.instruction"	"Mode.d.habitat"
"info. locales lue"	"info. polit. lue"	"sports non lue"	"lariflette lue"	"télévision lue"	"cérémonies non lue"	"info. socia. non lue"	"décès lue"	"accidents lue"	"pe. annonces non lue"	"page 1 lue"	"feuilleton non lue"	"info. éco. lue"	"cour. lect. non lue"	"madame non lue"	"agriculture non lue"	"jour le jour lue"	"spectacles non lue"	"inf. marit. non lue"	"inf. départ. non lu"	"inf. étrang. non lue"	"éducation non lue"	"ann. emploi non lue"	"faits divers lue"	"page 2 lue"	"cour. conso. non lue"	"zup"	"homme"	"célibataire"	"56-80 ans"	"retraité-inactif"	"sans enfant"	"primaire"	"appart. locataire"
"info. locales lue"	"inf. polit. non lue"	"sports non lue"	"lariflette non lue"	"télévision lue"	"cérémonies non lue"	"info. socia. non lue"	"décès lue"	"accidents lue"	"pe. annonces non lue"	"page 1 lue"	"feuilleton non lue"	"info. éco. non lue"	"cour. lect. non lue"	"madame lue"	"agriculture non lue"	"jour le jour lue"	"spectacles non lue"	"inf. marit. non lue"	"inf. départ. non lu"	"inf. étrang. non lue"	"éducation non lue"	"ann. emploi non lue"	"faits divers lue"	"page 2 non lue"	"cour. conso. lue"	"zup"	"femme"	"veuf"	"56-80 ans"	"retraité-inactif"	"sans enfant"	"primaire"	"appartement proprié."
"info. locales lue"	"info. polit. lue"	"sports non lue"	"lariflette non lue"	"télévision lue"	"cérémonies non lue"	"info. socia. non lue"	"décès lue"	"accidents lue"	"pe. annonces non lue"	"page 1 non lue"	"feuilleton non lue"	"info. éco. non lue"	"cour. lect. non lue"	"madame lue"	"agriculture non lue"	"jour le jour lue"	"spectacles lue"	"inf. marit. non lue"	"inf. départ. non lu"	"inf. étrang. non lue"	"éducation non lue"	"ann. emploi non lue"	"faits divers lue"	"page 2 non lue"	"cour. conso. non lue"	"zup"	"femme"	"célibataire"	"56-80 ans"	"retraité-inactif"	"sans enfant"	"primaire"	"appart. locataire"
"info. locales lue"	"inf. polit. non lue"	"sports lue"	"lariflette lue"	"télévision lue"	"cérémonies non lue"	"info. socia. non lue"	"décès lue"	"accidents non lue"	"pe. annonces non lue"	"page 1 non lue"	"feuilleton non lue"	"info. éco. non lue"	"cour. lect. lue"	"madame non lue"	"agriculture non lue"	"jour le jour non lue"	"spectacles non lue"	"inf. marit. non lue"	"inf. départ. non lu"	"inf. étrang. non lue"	"éducation non lue"	"ann. emploi non lue"	"faits divers lue"	"page 2 non lue"	"cour. conso. non lue"	"zup"	"homme"	"veuf"	"39-55 ans"	"ouvrier"	"3 enfants et +"	"primaire"	"maison propriétaire"
"info. locales lue"	"inf. polit. non lue"	"sports non lue"	"lariflette lue"	"télévision lue"	"cérémonies non lue"	"info. socia. non lue"	"décès lue"	"accidents lue"	"pe. annonces non lue"	"page 1 non lue"	"feuilleton non lue"	"info. éco. non lue"	"cour. lect. non lue"	"madame lue"	"agriculture non lue"	"jour le jour non lue"	"spectacles non lue"	"inf. marit. non lue"	"inf. départ. non lu"	"inf. étrang. non lue"	"éducation non lue"	"ann. emploi non lue"	"faits divers lue"	"page 2 non lue"	"cour. conso. non lue"	"zup"	"femme"	"marié"	"56-80 ans"	"retraité-inactif"	"sans enfant"	"primaire"	"appartement proprié."
"info. locales lue"	"info. polit. lue"	"sports lue"	"lariflette lue"	"télévision lue"	"cérémonies non lue"	"info. socia. lue"	"décès lue"	"accidents lue"	"pe. annonces non lue"	"page 1 lue"	"feuilleton non lue"	"info. éco. lue"	"cour. lect. lue"	"madame non lue"	"agriculture lue"	"jour le jour lue"	"spectacles lue"	"inf. marit. non lue"	"inf. départ. lue"	"inf. étrang. lue"	"éducation non lue"	"ann. emploi non lue"	"faits divers lue"	"page 2 non lue"	"cour. conso. lue"	"centre ville"	"homme"	"marié"	"39-55 ans"	"cadre moyen"	"2 enfants"	"primaire"	"maison propriétaire"
"info. locales lue"	"info. polit. lue"	"sports lue"	"lariflette lue"	"télévision lue"	"cérémonies lue"	"info. socia. lue"	"décès non lue"	"accidents lue"	"pe. annonces non lue"	"page 1 lue"	"feuilleton non lue"	"info. éco. lue"	"cour. lect. non lue"	"madame non lue"	"agriculture non lue"	"jour le jour lue"	"spectacles lue"	"inf. marit. non lue"	"inf. départ. lue"	"inf. étrang. lue"	"éducation lue"	"ann. emploi non lue"	"faits divers lue"	"page 2 lue"	"cour. conso. non lue"	"centre ville"	"homme"	"célibataire"	"16-26 ans"	"employé"	"sans enfant"	"primaire supérieur"	"maison locataire"
"info. locales lue"	"info. polit. lue"	"sports lue"	"lariflette lue"	"télévision lue"	"cérémonies non lue"	"info. socia. lue"	"décès lue"	"accidents lue"	"pe. annonces non lue"	"page 1 non lue"	"feuilleton non lue"	"info. éco. lue"	"cour. lect. non lue"	"madame lue"	"agriculture non lue"	"jour le jour lue"	"spectacles non lue"	"inf. marit. non lue"	"inf. départ. lue"	"inf. étrang. lue"	"éducation lue"	"ann. emploi non lue"	"faits divers lue"	"page 2 lue"	"cour. conso. non lue"	"centre ville"	"homme"	"marié"	"56-80 ans"	"retraité-inactif"	"sans enfant"	"primaire"	"maison propriétaire"
"info. loc. non lue"	"inf. polit. non lue"	"sports lue"	"lariflette lue"	"télévision lue"	"cérémonies non lue"	"info. socia. non lue"	"décès non lue"	"accidents lue"	"pet. annonces lue"	"page 1 lue"	"feuilleton non lue"	"info. éco. lue"	"cour. lect. non lue"	"madame non lue"	"agriculture non lue"	"jour le jour non lue"	"spectacles lue"	"inf. marit. non lue"	"inf. départ. lue"	"inf. étrang. non lue"	"éducation lue"	"ann. emploi lue"	"faits divers lue"	"page 2 lue"	"cour. conso. non lue"	"centre ville"	"homme"	"célibataire"	"16-26 ans"	"employé"	"sans enfant"	"primaire"	"maison propriétaire"
"info. locales lue"	"info. polit. lue"	"sports lue"	"lariflette lue"	"télévision lue"	"cérémonies lue"	"info. socia. lue"	"décès lue"	"accidents lue"	"pet. annonces lue"	"page 1 lue"	"feuilleton non lue"	"info. éco. lue"	"cour. lect. lue"	"madame lue"	"agriculture non lue"	"jour le jour lue"	"spectacles lue"	"inf. marit. non lue"	"inf. départ. lue"	"inf. étrang. lue"	"éducation lue"	"ann. emploi lue"	"faits divers lue"	"page 2 lue"	"cour. conso. lue"	"centre ville"	"femme"	"célibataire"	"16-26 ans"	"commercant-artisan"	"sans enfant"	"secondaire"	"maison propriétaire"
"info. loc. non lue"	"inf. polit. non lue"	"sports non lue"	"lariflette non lue"	"télévision non lue"	"cérémonies non lue"	"info. socia. lue"	"décès non lue"	"accidents non lue"	"pe. annonces non lue"	"page 1 non lue"	"feuilleton non lue"	"info. éco. non lue"	"cour. lect. non lue"	"madame non lue"	"agriculture non lue"	"jour le jour lue"	"spectacles lue"	"inf. marit. non lue"	"inf. départ. non lu"	"inf. étrang. non lue"	"éducation non lue"	"ann. emploi non lue"	"faits divers non lue"	"page 2 non lue"	"cour. conso. non lue"	"centre ville"	"femme"	"marié"	"39-55 ans"	"cadre moyen"	"3 enfants et +"	"secondaire"	"maison locataire"
"info. loc. non lue"	"info. polit. lue"	"sports lue"	"lariflette non lue"	"télévision non lue"	"cérémonies non lue"	"info. socia. non lue"	"décès lue"	"accidents lue"	"pe. annonces non lue"	"page 1 non lue"	"feuilleton non lue"	"info. éco. lue"	"cour. lect. lue"	"madame non lue"	"agriculture non lue"	"jour le jour non lue"	"spectacles non lue"	"inf. marit. non lue"	"inf. départ. non lu"	"inf. étrang. non lue"	"éducation non lue"	"ann. emploi non lue"	"faits divers lue"	"page 2 non lue"	"cour. conso. non lue"	"centre ville"	"homme"	"marié"	"39-55 ans"	"employé"	"2 enfants"	"primaire"	"maison propriétaire"
"info. locales lue"	"info. polit. lue"	"sports lue"	"lariflette non lue"	"télévision lue"	"cérémonies non lue"	"info. socia. non lue"	"décès non lue"	"accidents lue"	"pet. annonces lue"	"page 1 non lue"	"feuilleton non lue"	"info. éco. lue"	"cour. lect. non lue"	"madame non lue"	"agriculture non lue"	"jour le jour non lue"	"spectacles non lue"	"inf. marit. non lue"	"inf. départ. non lu"	"inf. étrang. non lue"	"éducation non lue"	"ann. emploi lue"	"faits divers lue"	"page 2 non lue"	"cour. conso. non lue"	"centre ville"	"homme"	"célibataire"	"16-26 ans"	"employé"	"sans enfant"	"supérieur"	"maison propriétaire"
"info. locales lue"	"inf. polit. non lue"	"sports lue"	"lariflette non lue"	"télévision lue"	"cérémonies lue"	"info. socia. lue"	"décès lue"	"accidents lue"	"pet. annonces lue"	"page 1 lue"	"feuilleton non lue"	"info. éco. non lue"	"cour. lect. non lue"	"madame non lue"	"agriculture non lue"	"jour le jour non lue"	"spectacles non lue"	"inf. marit. non lue"	"inf. départ. lue"	"inf. étrang. non lue"	"éducation lue"	"ann. emploi non lue"	"faits divers lue"	"page 2 lue"	"cour. conso. non lue"	"centre ville"	"homme"	"célibataire"	"39-55 ans"	"cadre moyen"	"sans enfant"	"secondaire"	"maison propriétaire"
"info. locales lue"	"info. polit. lue"	"sports lue"	"lariflette lue"	"télévision non lue"	"cérémonies lue"	"info. socia. lue"	"décès lue"	"accidents lue"	"pet. annonces lue"	"page 1 non lue"	"feuilleton non lue"	"info. éco. lue"	"cour. lect. non lue"	"madame non lue"	"agriculture lue"	"jour le jour lue"	"spectacles non lue"	"inf. maritim. lue"	"inf. départ. lue"	"inf. étrang. lue"	"éducation lue"	"ann. emploi non lue"	"faits divers lue"	"page 2 lue"	"cour. conso. non lue"	"centre ville"	"homme"	"marié"	"27-38 ans"	"ouvrier"	"sans enfant"	"primaire supérieur"	"maison propriétaire"
"info. locales lue"	"info. polit. lue"	"sports lue"	"lariflette non lue"	"télévision non lue"	"cérémonies non lue"	"info. socia. lue"	"décès lue"	"accidents lue"	"pe. annonces non lue"	"page 1 lue"	"feuilleton non lue"	"info. éco. non lue"	"cour. lect. lue"	"madame non lue"	"agriculture non lue"	"jour le jour non lue"	"spectacles non lue"	"inf. marit. non lue"	"inf. départ. non lu"	"inf. étrang. non lue"	"éducation non lue"	"ann. emploi non lue"	"faits divers non lue"	"page 2 non lue"	"cour. conso. non lue"	"centre ville"	"homme"	"marié"	"39-55 ans"	"employé"	"3 enfants et +"	"primaire supérieur"	"maison propriétaire"
"info. locales lue"	"info. polit. lue"	"sports non lue"	"lariflette non lue"	"télévision lue"	"cérémonies non lue"	"info. socia. lue"	"décès lue"	"accidents lue"	"pet. annonces lue"	"page 1 lue"	"feuilleton non lue"	"info. éco. lue"	"cour. lect. non lue"	"madame non lue"	"agriculture non lue"	"jour le jour non lue"	"spectacles lue"	"inf. marit. non lue"	"inf. départ. lue"	"inf. étrang. lue"	"éducation non lue"	"ann. emploi non lue"	"faits divers lue"	"page 2 lue"	"cour. conso. lue"	"centre ville"	"homme"	"marié"	"39-55 ans"	"employé"	"sans enfant"	"supérieur"	"maison propriétaire"
"info. loc. non lue"	"info. polit. lue"	"sports non lue"	"lariflette lue"	"télévision non lue"	"cérémonies non lue"	"info. socia. lue"	"décès non lue"	"accidents non lue"	"pe. annonces non lue"	"page 1 non lue"	"feuilleton non lue"	"info. éco. lue"	"cour. lect. lue"	"madame non lue"	"agriculture non lue"	"jour le jour non lue"	"spectacles lue"	"inf. marit. non lue"	"inf. départ. lue"	"inf. étrang. lue"	"éducation non lue"	"ann. emploi non lue"	"faits divers lue"	"page 2 lue"	"cour. conso. non lue"	"rural"	"femme"	"marié"	"16-26 ans"	"NR"	"1 enfant"	"supérieur"	"maison locataire"
"info. locales lue"	"info. polit. lue"	"sports lue"	"lariflette non lue"	"télévision non lue"	"cérémonies non lue"	"info. socia. lue"	"décès non lue"	"accidents non lue"	"pe. annonces non lue"	"page 1 non lue"	"feuilleton non lue"	"info. éco. non lue"	"cour. lect. non lue"	"madame non lue"	"agriculture lue"	"jour le jour non lue"	"spectacles lue"	"inf. marit. non lue"	"inf. départ. lue"	"inf. étrang. non lue"	"éducation non lue"	"ann. emploi non lue"	"faits divers non lue"	"page 2 lue"	"cour. conso. non lue"	"rural"	"homme"	"marié"	"16-26 ans"	"agriculteur"	"1 enfant"	"primaire supérieur"	"maison locataire"
"info. locales lue"	"info. polit. lue"	"sports non lue"	"lariflette non lue"	"télévision lue"	"cérémonies non lue"	"info. socia. lue"	"décès lue"	"accidents lue"	"pe. annonces non lue"	"page 1 non lue"	"feuilleton lue"	"info. éco. lue"	"cour. lect. lue"	"madame lue"	"agriculture non lue"	"jour le jour lue"	"spectacles lue"	"inf. marit. non lue"	"inf. départ. lue"	"inf. étrang. non lue"	"éducation lue"	"ann. emploi non lue"	"faits divers lue"	"page 2 lue"	"cour. conso. non lue"	"rural"	"femme"	"marié"	"39-55 ans"	"cadre moyen"	"3 enfants et +"	"secondaire"	"maison propriétaire"
"info. locales lue"	"info. polit. lue"	"sports non lue"	"lariflette lue"	"télévision lue"	"cérémonies lue"	"info. socia. lue"	"décès lue"	"accidents lue"	"pet. annonces lue"	"page 1 lue"	"feuilleton non lue"	"info. éco. lue"	"cour. lect. lue"	"madame non lue"	"agriculture non lue"	"jour le jour lue"	"spectacles lue"	"inf. marit. non lue"	"inf. départ. non lu"	"inf. étrang. lue"	"éducation lue"	"ann. emploi lue"	"faits divers lue"	"page 2 lue"	"cour. conso. lue"	"rural"	"homme"	"marié"	"56-80 ans"	"NR"	"sans enfant"	"primaire"	"maison propriétaire"
"info. locales lue"	"inf. polit. non lue"	"sports non lue"	"lariflette non lue"	"télévision lue"	"cérémonies non lue"	"info. socia. non lue"	"décès non lue"	"accidents non lue"	"pet. annonces lue"	"page 1 non lue"	"feuilleton non lue"	"info. éco. non lue"	"cour. lect. non lue"	"madame non lue"	"agriculture non lue"	"jour le jour non lue"	"spectacles lue"	"inf. marit. non lue"	"inf. départ. non lu"	"inf. étrang. non lue"	"éducation non lue"	"ann. emploi lue"	"faits divers non lue"	"page 2 non lue"	"cour. conso. non lue"	"rural"	"femme"	"célibataire"	"16-26 ans"	"NR"	"sans enfant"	"primaire"	"appart. locataire"
"info. locales lue"	"info. polit. lue"	"sports non lue"	"lariflette lue"	"télévision non lue"	"cérémonies non lue"	"info. socia. non lue"	"décès lue"	"accidents lue"	"pe. annonces non lue"	"page 1 non lue"	"feuilleton non lue"	"info. éco. non lue"	"cour. lect. non lue"	"madame non lue"	"agriculture lue"	"jour le jour lue"	"spectacles non lue"	"inf. marit. non lue"	"inf. départ. lue"	"inf. étrang. non lue"	"éducation non lue"	"ann. emploi non lue"	"faits divers lue"	"page 2 non lue"	"cour. conso. non lue"	"rural"	"homme"	"marié"	"56-80 ans"	"agriculteur"	"1 enfant"	"primaire"	"maison locataire"
"info. locales lue"	"info. polit. lue"	"sports lue"	"lariflette lue"	"télévision lue"	"cérémonies non lue"	"info. socia. non lue"	"décès lue"	"accidents lue"	"pe. annonces non lue"	"page 1 non lue"	"feuilleton lue"	"info. éco. lue"	"cour. lect. non lue"	"madame lue"	"agriculture non lue"	"jour le jour lue"	"spectacles lue"	"inf. marit. non lue"	"inf. départ. lue"	"inf. étrang. non lue"	"éducation non lue"	"ann. emploi non lue"	"faits divers lue"	"page 2 non lue"	"cour. conso. lue"	"rural"	"homme"	"marié"	"39-55 ans"	"NR"	"3 enfants et +"	"secondaire"	"maison locataire"
"info. locales lue"	"inf. polit. non lue"	"sports non lue"	"lariflette non lue"	"télévision lue"	"cérémonies non lue"	"info. socia. non lue"	"décès lue"	"accidents lue"	"pe. annonces non lue"	"page 1 non lue"	"feuilleton non lue"	"info. éco. non lue"	"cour. lect. non lue"	"madame non lue"	"agriculture non lue"	"jour le jour non lue"	"spectacles lue"	"inf. marit. non lue"	"inf. départ. lue"	"inf. étrang. non lue"	"éducation non lue"	"ann. emploi non lue"	"faits divers lue"	"page 2 non lue"	"cour. conso. non lue"	"rural"	"femme"	"marié"	"39-55 ans"	"commercant-artisan"	"3 enfants et +"	"primaire"	"maison locataire"
"info. locales lue"	"inf. polit. non lue"	"sports lue"	"lariflette lue"	"télévision lue"	"cérémonies non lue"	"info. socia. lue"	"décès lue"	"accidents non lue"	"pet. annonces lue"	"page 1 lue"	"feuilleton non lue"	"info. éco. non lue"	"cour. lect. non lue"	"madame non lue"	"agriculture non lue"	"jour le jour non lue"	"spectacles non lue"	"inf. marit. non lue"	"inf. départ. non lu"	"inf. étrang. lue"	"éducation lue"	"ann. emploi non lue"	"faits divers lue"	"page 2 non lue"	"cour. conso. non lue"	"rural"	"homme"	"marié"	"27-38 ans"	"NR"	"3 enfants et +"	"primaire supérieur"	"maison locataire"
"info. locales lue"	"info. polit. lue"	"sports non lue"	"lariflette lue"	"télévision non lue"	"cérémonies non lue"	"info. socia. non lue"	"décès lue"	"accidents lue"	"pe. annonces non lue"	"page 1 non lue"	"feuilleton non lue"	"info. éco. non lue"	"cour. lect. non lue"	"madame lue"	"agriculture non lue"	"jour le jour lue"	"spectacles non lue"	"inf. marit. non lue"	"inf. départ. non lu"	"inf. étrang. lue"	"éducation non lue"	"ann. emploi lue"	"faits divers lue"	"page 2 non lue"	"cour. conso. lue"	"rural"	"femme"	"marié"	"39-55 ans"	"commercant-artisan"	"3 enfants et +"	"primaire supérieur"	"maison locataire"
"info. locales lue"	"info. polit. lue"	"sports lue"	"lariflette non lue"	"télévision non lue"	"cérémonies lue"	"info. socia. lue"	"décès non lue"	"accidents non lue"	"pet. annonces lue"	"page 1 lue"	"feuilleton non lue"	"info. éco. lue"	"cour. lect. non lue"	"madame non lue"	"agriculture lue"	"jour le jour non lue"	"spectacles lue"	"inf. marit. non lue"	"inf. départ. non lu"	"inf. étrang. lue"	"éducation lue"	"ann. emploi non lue"	"faits divers non lue"	"page 2 non lue"	"cour. conso. non lue"	"rural"	"homme"	"marié"	"27-38 ans"	"NR"	"2 enfants"	"supérieur"	"maison propriétaire"
"info. locales lue"	"info. polit. lue"	"sports lue"	"lariflette non lue"	"télévision lue"	"cérémonies non lue"	"info. socia. lue"	"décès non lue"	"accidents non lue"	"pet. annonces lue"	"page 1 lue"	"feuilleton non lue"	"info. éco. lue"	"cour. lect. non lue"	"madame non lue"	"agriculture non lue"	"jour le jour non lue"	"spectacles non lue"	"inf. marit. non lue"	"inf. départ. lue"	"inf. étrang. lue"	"éducation non lue"	"ann. emploi lue"	"faits divers non lue"	"page 2 lue"	"cour. conso. non lue"	"rural"	"homme"	"marié"	"39-55 ans"	"NR"	"sans enfant"	"secondaire"	"maison propriétaire"
"info. loc. non lue"	"info. polit. lue"	"sports lue"	"lariflette non lue"	"télévision non lue"	"cérémonies non lue"	"info. socia. lue"	"décès non lue"	"accidents non lue"	"pe. annonces non lue"	"page 1 non lue"	"feuilleton non lue"	"info. éco. lue"	"cour. lect. non lue"	"madame non lue"	"agriculture non lue"	"jour le jour non lue"	"spectacles lue"	"inf. maritim. lue"	"inf. départ. lue"	"inf. étrang. lue"	"éducation lue"	"ann. emploi lue"	"faits divers non lue"	"page 2 lue"	"cour. conso. non lue"	"rural"	"homme"	"marié"	"16-26 ans"	"cadre moyen"	"sans enfant"	"supérieur"	"appart. locataire"
"info. loc. non lue"	"inf. polit. non lue"	"sports non lue"	"lariflette lue"	"télévision lue"	"cérémonies non lue"	"info. socia. non lue"	"décès lue"	"accidents lue"	"pet. annonces lue"	"page 1 non lue"	"feuilleton non lue"	"info. éco. non lue"	"cour. lect. lue"	"madame lue"	"agriculture non lue"	"jour le jour non lue"	"spectacles non lue"	"inf. marit. non lue"	"inf. départ. lue"	"inf. étrang. non lue"	"éducation non lue"	"ann. emploi non lue"	"faits divers lue"	"page 2 non lue"	"cour. conso. lue"	"rural"	"femme"	"marié"	"16-26 ans"	"commercant-artisan"	"2 enfants"	"primaire supérieur"	"maison propriétaire"
"info. locales lue"	"inf. polit. non lue"	"sports lue"	"lariflette non lue"	"télévision lue"	"cérémonies non lue"	"info. socia. non lue"	"décès lue"	"accidents lue"	"pet. annonces lue"	"page 1 lue"	"feuilleton non lue"	"info. éco. non lue"	"cour. lect. non lue"	"madame non lue"	"agriculture non lue"	"jour le jour non lue"	"spectacles non lue"	"inf. marit. non lue"	"inf. départ. lue"	"inf. étrang. non lue"	"éducation non lue"	"ann. emploi non lue"	"faits divers non lue"	"page 2 non lue"	"cour. conso. non lue"	"rural"	"homme"	"marié"	"39-55 ans"	"NR"	"2 enfants"	"primaire"	"maison locataire"
"info. locales lue"	"inf. polit. non lue"	"sports lue"	"lariflette lue"	"télévision lue"	"cérémonies non lue"	"info. socia. non lue"	"décès lue"	"accidents lue"	"pet. annonces lue"	"page 1 lue"	"feuilleton non lue"	"info. éco. non lue"	"cour. lect. non lue"	"madame lue"	"agriculture non lue"	"jour le jour lue"	"spectacles lue"	"inf. marit. non lue"	"inf. départ. lue"	"inf. étrang. non lue"	"éducation non lue"	"ann. emploi lue"	"faits divers lue"	"page 2 lue"	"cour. conso. non lue"	"rural"	"homme"	"marié"	"27-38 ans"	"NR"	"2 enfants"	"technico-commercial"	"maison propriétaire"
"info. locales lue"	"info. polit. lue"	"sports lue"	"lariflette non lue"	"télévision lue"	"cérémonies non lue"	"info. socia. lue"	"décès non lue"	"accidents non lue"	"pe. annonces non lue"	"page 1 non lue"	"feuilleton non lue"	"info. éco. lue"	"cour. lect. lue"	"madame non lue"	"agriculture non lue"	"jour le jour non lue"	"spectacles lue"	"inf. marit. non lue"	"inf. départ. non lu"	"inf. étrang. lue"	"éducation lue"	"ann. emploi non lue"	"faits divers lue"	"page 2 lue"	"cour. conso. non lue"	"rural"	"homme"	"célibataire"	"16-26 ans"	"NR"	"sans enfant"	"secondaire"	"appart. locataire"
"info. locales lue"	"info. polit. lue"	"sports lue"	"lariflette lue"	"télévision non lue"	"cérémonies non lue"	"info. socia. non lue"	"décès lue"	"accidents non lue"	"pe. annonces non lue"	"page 1 lue"	"feuilleton non lue"	"info. éco. non lue"	"cour. lect. non lue"	"madame non lue"	"agriculture non lue"	"jour le jour non lue"	"spectacles non lue"	"inf. marit. non lue"	"inf. départ. lue"	"inf. étrang. lue"	"éducation non lue"	"ann. emploi non lue"	"faits divers lue"	"page 2 lue"	"cour. conso. non lue"	"rural"	"homme"	"marié"	"39-55 ans"	"NR"	"2 enfants"	"primaire supérieur"	"appart. locataire"
"info. locales lue"	"inf. polit. non lue"	"sports lue"	"lariflette lue"	"télévision non lue"	"cérémonies non lue"	"info. socia. lue"	"décès lue"	"accidents lue"	"pe. annonces non lue"	"page 1 non lue"	"feuilleton non lue"	"info. éco. lue"	"cour. lect. non lue"	"madame non lue"	"agriculture non lue"	"jour le jour non lue"	"spectacles non lue"	"inf. marit. non lue"	"inf. départ. lue"	"inf. étrang. non lue"	"éducation non lue"	"ann. emploi non lue"	"faits divers lue"	"page 2 non lue"	"cour. conso. lue"	"rural"	"homme"	"marié"	"39-55 ans"	"NR"	"3 enfants et +"	"primaire supérieur"	"maison propriétaire"
"info. locales lue"	"info. polit. lue"	"sports non lue"	"lariflette lue"	"télévision lue"	"cérémonies lue"	"info. socia. lue"	"décès lue"	"accidents lue"	"pe. annonces non lue"	"page 1 lue"	"feuilleton non lue"	"info. éco. lue"	"cour. lect. lue"	"madame lue"	"agriculture non lue"	"jour le jour non lue"	"spectacles lue"	"inf. marit. non lue"	"inf. départ. non lu"	"inf. étrang. non lue"	"éducation lue"	"ann. emploi lue"	"faits divers lue"	"page 2 non lue"	"cour. conso. lue"	"rural"	"femme"	"marié"	"39-55 ans"	"cadre moyen"	"3 enfants et +"	"primaire"	"maison propriétaire"
"info. locales lue"	"info. polit. lue"	"sports lue"	"lariflette lue"	"télévision lue"	"cérémonies lue"	"info. socia. lue"	"décès lue"	"accidents lue"	"pe. annonces non lue"	"page 1 lue"	"feuilleton non lue"	"info. éco. lue"	"cour. lect. non lue"	"madame non lue"	"agriculture lue"	"jour le jour lue"	"spectacles non lue"	"inf. marit. non lue"	"inf. départ. lue"	"inf. étrang. lue"	"éducation non lue"	"ann. emploi non lue"	"faits divers lue"	"page 2 non lue"	"cour. conso. non lue"	"rural"	"homme"	"marié"	"56-80 ans"	"NR"	"sans enfant"	"primaire"	"maison locataire"
"info. locales lue"	"info. polit. lue"	"sports non lue"	"lariflette lue"	"télévision non lue"	"cérémonies lue"	"info. socia. lue"	"décès lue"	"accidents lue"	"pet. annonces lue"	"page 1 non lue"	"feuilleton non lue"	"info. éco. lue"	"cour. lect. lue"	"madame lue"	"agriculture lue"	"jour le jour lue"	"spectacles lue"	"inf. marit. non lue"	"inf. départ. lue"	"inf. étrang. lue"	"éducation lue"	"ann. emploi non lue"	"faits divers lue"	"page 2 non lue"	"cour. conso. lue"	"rural"	"femme"	"marié"	"39-55 ans"	"agriculteur"	"3 enfants et +"	"primaire"	"maison propriétaire"
"info. locales lue"	"inf. polit. non lue"	"sports non lue"	"lariflette lue"	"télévision lue"	"cérémonies lue"	"info. socia. non lue"	"décès lue"	"accidents lue"	"pet. annonces lue"	"page 1 non lue"	"feuilleton lue"	"info. éco. lue"	"cour. lect. non lue"	"madame lue"	"agriculture non lue"	"jour le jour non lue"	"spectacles lue"	"inf. marit. non lue"	"inf. départ. lue"	"inf. étrang. non lue"	"éducation non lue"	"ann. emploi lue"	"faits divers lue"	"page 2 non lue"	"cour. conso. non lue"	"rural"	"femme"	"marié"	"16-26 ans"	"employé"	"1 enfant"	"primaire"	"maison locataire"
"info. locales lue"	"inf. polit. non lue"	"sports non lue"	"lariflette non lue"	"télévision lue"	"cérémonies lue"	"info. socia. lue"	"décès lue"	"accidents lue"	"pet. annonces lue"	"page 1 lue"	"feuilleton non lue"	"info. éco. lue"	"cour. lect. lue"	"madame lue"	"agriculture lue"	"jour le jour lue"	"spectacles non lue"	"inf. marit. non lue"	"inf. départ. lue"	"inf. étrang. non lue"	"éducation lue"	"ann. emploi non lue"	"faits divers lue"	"page 2 non lue"	"cour. conso. lue"	"rural"	"femme"	"marié"	"56-80 ans"	"agriculteur"	"sans enfant"	"primaire"	"maison propriétaire"
"info. locales lue"	"info. polit. lue"	"sports lue"	"lariflette lue"	"télévision lue"	"cérémonies lue"	"info. socia. lue"	"décès lue"	"accidents lue"	"pe. annonces non lue"	"page 1 lue"	"feuilleton non lue"	"info. éco. lue"	"cour. lect. lue"	"madame non lue"	"agriculture non lue"	"jour le jour non lue"	"spectacles non lue"	"inf. marit. non lue"	"inf. départ. lue"	"inf. étrang. lue"	"éducation non lue"	"ann. emploi non lue"	"faits divers lue"	"page 2 lue"	"cour. conso. lue"	"rural"	"homme"	"marié"	"56-80 ans"	"NR"	"sans enfant"	"primaire"	"maison propriétaire"
"info. locales lue"	"info. polit. lue"	"sports lue"	"lariflette lue"	"télévision lue"	"cérémonies non lue"	"info. socia. lue"	"décès lue"	"accidents lue"	"pe. annonces non lue"	"page 1 non lue"	"feuilleton non lue"	"info. éco. lue"	"cour. lect. non lue"	"madame non lue"	"agriculture lue"	"jour le jour lue"	"spectacles non lue"	"inf. marit. non lue"	"inf. départ. lue"	"inf. étrang. lue"	"éducation non lue"	"ann. emploi non lue"	"faits divers lue"	"page 2 non lue"	"cour. conso. lue"	"rural"	"homme"	"marié"	"27-38 ans"	"NR"	"3 enfants et +"	"primaire supérieur"	"maison locataire"
